ID,nome,descrição,tipo,escopo,definição/default,tela,endpoints,validação,armazenamento,cache/invalidação,precedência,consumidor,efeito,necessidade de reload/restart,paridade entre clientes,classificação,evidências
USR-001,Direção do leitor,Ordem e direção de leitura,enum,usuário autenticado,RTL; LTR|RTL|WEBTOON,Configurações > Leitor; leitor,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.reader_direction; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea,altera navegação e layout,efeito imediato; reload e restart recuperam a preferência,web sim; mobile não expõe,totalmente integrada,useChapterReader.ts; ReadingArea.tsx; PATCH/GET/DB/reload; prova visual LTR→RTL e restauração
USR-002,Modo do leitor,"Vertical, página única ou dupla",enum,usuário autenticado,VERTICAL; VERTICAL|PAGED|DOUBLE,Configurações > Leitor; leitor,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.reader_mode; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea,altera composição das páginas,efeito imediato; reload e restart recuperam a preferência,web sim; mobile não expõe,totalmente integrada,UserSettings.java:110; ReaderTab.tsx; ReadingArea.tsx
USR-003,Ajuste de imagem,"Ajuste por largura, altura ou tamanho original",enum,usuário autenticado,WIDTH; WIDTH|HEIGHT|ORIGINAL,Configurações > Leitor; leitor,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.reader_fit; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea,altera classes/tamanho da imagem,efeito imediato; reload e restart recuperam a preferência,web sim; mobile não expõe,totalmente integrada,UserSettings.java:116; ReaderTab.tsx; ReadingArea.tsx
USR-004,Qualidade de imagem,Qualidade desejada das imagens do capítulo,enum,usuário autenticado,AUTO; AUTO|LOW|MEDIUM|HIGH|ORIGINAL,Configurações > Leitor,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.reader_quality; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea; ReaderPagePlaceholder,"seleciona thumbnail em LOW, marca data-quality e mantém original nas demais qualidades",efeito imediato; reload e restart recuperam a preferência,somente web expõe,totalmente integrada,ReadingArea.tsx: srcOf/eager; ReaderPagePlaceholder.tsx; testes do leitor
USR-005,Gap entre páginas,Espaço em pixels no modo vertical,inteiro,usuário autenticado,8; faixa 0..32,Configurações > Leitor; leitor,GET/PATCH /api/users/me/settings,@Min/@Max + domínio + CHECK,PostgreSQL user_system_settings.reader_gap; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea,altera espaçamento visual,efeito imediato; reload e restart recuperam a preferência,web sim; mobile não expõe,totalmente integrada,prova 8→17 e 8→19; HTTP 400 para 99; PostgreSQL; leitura após restart
USR-006,Fundo do leitor,"Preto, escuro ou papel",enum,usuário autenticado,DARK; BLACK|DARK|PAPER,Configurações > Leitor; leitor,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.reader_background; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; shell do leitor,altera fundo do leitor,efeito imediato; reload e restart recuperam a preferência,web sim; mobile não expõe,totalmente integrada,UserSettings.java:130; ReaderTab.tsx; useChapterReader.ts
USR-007,Marcação automática,Marca capítulo como lido ao chegar à última página,boolean,usuário autenticado,true,Configurações > Leitor,GET/PATCH /api/users/me/settings,NOT NULL; boolean tipado,PostgreSQL user_system_settings.auto_mark_read; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; conclusão do capítulo,autoMarkRead=false impede marcação automática; true mantém a conclusão,efeito imediato; reload e restart recuperam a preferência,somente web expõe,totalmente integrada,useChapterReader.ts; Chapter.tsx; testes de conclusão e settings
USR-008,Pré-carregamento,Quantidade de páginas carregadas adiante,inteiro,usuário autenticado,3; faixa 0..10,Configurações > Leitor,GET/PATCH /api/users/me/settings,@Min/@Max + domínio + CHECK,PostgreSQL user_system_settings.preload_pages; localStorage mr.settings.v1,React Query atualizado/inutilizado após PATCH; storage central versionado,sessão efêmera não confirmada → preferência autenticada → default do domínio,useChapterReader; ReadingArea,controla quantas imagens seguintes recebem carregamento eager,efeito imediato; reload e restart recuperam a preferência,somente web expõe,totalmente integrada,ReadingArea.tsx: eager n <= page + preload; testes do leitor
USR-009,Tema web,"Tema escuro, claro ou do sistema",enum,usuário autenticado,DARK; DARK|LIGHT|SYSTEM,Configurações > Aparência; rodapé,GET/PATCH /api/users/me/settings,enum DTO + domínio + CHECK,PostgreSQL user_system_settings.appearance_theme; localStorage mr.settings.v1,aplicação imediata no elemento html,autenticada/local → default DARK,applySystemPreferences; CSS tokens/classes,"DARK, LIGHT e SYSTEM aplicam semântica visual própria",imediato,mobile tem implementação separada,totalmente integrada,accessibility.ts THEME_CLASSES; styles/index.css html.mr-theme-light; accessibility.test.ts
USR-010,Tamanho de fonte,"Escala tipográfica compacta, padrão ou confortável",enum,usuário autenticado,DEFAULT,Configurações > Aparência,GET/PATCH /api/users/me/settings,enum + CHECK,PostgreSQL user_system_settings.font_size; localStorage,aplicação imediata + invalidation da query,autenticada/local → default,applySystemPreferences; CSS tokens,altera escala tipográfica,imediato,somente web,totalmente integrada,accessibility.ts; prova dinâmica DEFAULT→COMFORTABLE→DEFAULT
USR-011,Densidade,Espaçamento confortável ou compacto,enum,usuário autenticado,COMFORTABLE,Configurações > Aparência,GET/PATCH /api/users/me/settings,enum + CHECK,PostgreSQL user_system_settings.density; localStorage,aplicação imediata,autenticada/local → default,applySystemPreferences; CSS,altera densidade da interface,imediato,somente web,totalmente integrada,UserSettings.java:148; accessibility.ts
USR-012,Animações,Habilita animações da interface,boolean,usuário autenticado,true,Configurações > Aparência,GET/PATCH /api/users/me/settings,NOT NULL,PostgreSQL user_system_settings.animations_enabled; localStorage,aplicação imediata,reduceMotion prevalece sobre animations,applySystemPreferences; CSS,desabilita transições/animações,imediato,somente web,totalmente integrada,accessibility.ts; Accessibility tests
USR-013,Formato de data,"Preferência D_MON, D_M ou MON_D",enum,usuário autenticado,D_MON,Configurações > Idioma e região,GET/PATCH /api/users/me/settings,enum + CHECK,PostgreSQL user_system_settings.date_format; localStorage,settings query invalidada,autenticada → default,formatDate central; dataset de preferências,datas seguem D_MON/MON_D com locale efetivo,reload recupera,somente web expõe,totalmente integrada,shared/lib/formatters.ts; formatters.test.ts; accessibility.ts
